,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price
0,356.2,30.25,1633.5,933.4,231.9,216.05,1148.05,500.1,341.15,1332.95,259.5,82.2,727.85,449.85,266.65,569.0,1066.05,509.45,2675.8,28930.6,245.8,205.25,414.0,17.55,457.35,1742.4,63.7,772.8,650.15,527.5
1,354.5,32.85,1634.25,924.7,234.4,214.9,1142.85,501.5,347.0,1347.75,261.5,83.4,733.3,443.0,266.1,565.6,1047.75,511.3,2724.1,29362.5,244.7,207.9,411.4,17.4,455.25,1740.7,64.25,785.0,636.7,534.15
2,348.55,33.1,1654.35,937.7,237.35,217.0,1154.95,502.8,349.85,1324.8,260.9,82.25,727.45,439.55,264.85,562.35,1016.45,506.35,2736.9,29093.55,243.2,205.9,408.3,17.3,472.65,1755.45,63.35,783.65,626.75,528.9
3,347.9,31.9,1633.4,912.1,232.65,209.65,1151.35,492.0,334.1,1314.55,254.1,78.95,714.9,433.95,260.35,560.1,1054.45,492.9,2678.95,28357.3,239.85,196.85,404.75,16.75,461.85,1722.6,61.5,746.95,604.65,522.7
4,349.45,32.4,1670.25,895.75,234.65,206.25,1123.15,501.7,336.2,1289.15,247.8,77.15,702.45,437.1,254.05,564.95,972.95,497.5,2656.45,27936.05,238.15,203.55,401.05,16.95,455.35,1724.55,61.15,723.1,594.3,520.4
5,354.45,31.45,1677.95,877.7,233.75,201.6,1112.55,502.3,313.25,1242.15,249.15,74.0,695.6,424.95,255.5,563.1,930.8,502.35,2608.7,27189.9,230.8,194.8,390.2,16.8,455.25,1751.95,60.2,715.95,574.65,475.65
6,331.65,29.85,1676.8,874.2,230.5,197.65,1098.9,500.6,315.55,1233.75,244.1,70.45,699.55,411.9,247.95,533.2,926.2,501.15,2579.45,27598.25,227.05,196.55,380.35,15.9,435.15,1740.75,58.25,699.55,553.8,472.85
7,339.65,28.0,1657.45,835.65,221.45,196.0,1091.2,499.3,327.95,1224.35,242.45,66.95,711.9,418.8,241.05,519.65,914.8,509.95,2516.8,27364.7,222.15,194.35,390.65,14.55,440.5,1684.45,56.9,662.25,516.15,464.8
8,340.75,28.65,1616.15,837.45,226.9,199.55,1113.2,507.45,346.2,1258.85,242.65,69.85,726.85,414.45,252.65,504.0,925.05,543.9,2427.7,28009.45,227.8,202.55,401.0,15.2,443.15,1768.85,57.6,678.3,508.15,468.95
9,348.0,28.9,1602.15,865.85,232.1,199.9,1132.45,511.45,359.45,1317.8,258.0,73.0,749.65,420.5,259.65,488.9,949.95,535.2,2414.4,28351.35,233.35,202.75,401.75,15.95,426.2,1787.6,59.25,721.15,511.05,483.4
